token,speaker,class,vowel,coda,Stimulus,vowelcoda,classvowelcoda,word,wavname,textgridname,duration,measurement_no,f1,f2,f3,f4,f5,f1.tag,f2.tag,f3.tag,f4.tag,f5.tag,f1wtag,f2wtag,f3wtag,f4wtag,f5wtag,f1ntag,f2ntag,f3ntag,f4ntag,f5ntag
32,W1,W,/u/,vrc,hurt,uvrc,Wuvrc,bird,bird_W14SF.wav,bird_W14SF.TextGrid,0.216977756,3,521.7391304,919.9084668,2622.425629,3597.254005,4036.613272,,,,,,,,,,,,,,,
32,W1,W,/u/,vrc,hurt,uvrc,Wuvrc,bird,bird_W14SF.wav,bird_W14SF.TextGrid,0.216977756,4,521.7391304,919.9084668,2622.425629,3528.922237,4077.803204,,,,,,,,,,,,,,,
32,W1,W,/u/,vrc,hurt,uvrc,Wuvrc,bird,bird_W14SF.wav,bird_W14SF.TextGrid,0.216977756,5,521.7391304,919.9084668,2608.695652,3473.684211,4077.803204,,,,,,,,,,,,,,,
32,W1,W,/u/,vrc,hurt,uvrc,Wuvrc,bird,bird_W14SF.wav,bird_W14SF.TextGrid,0.216977756,6,521.7391304,906.1784897,2628.808861,3487.414188,4077.803204,,,,,,,,,,,,,,,
32,W1,W,/u/,vrc,hurt,uvrc,Wuvrc,bird,bird_W14SF.wav,bird_W14SF.TextGrid,0.216977756,7,508.0091533,892.4485126,2649.885584,3514.874142,4050.343249,,,,,,,,,,,,,,,
32,W1,W,/u/,vrc,hurt,uvrc,Wuvrc,bird,bird_W14SF.wav,bird_W14SF.TextGrid,0.216977756,8,508.0091533,878.7185355,2677.345538,3514.874142,3940.503432,,1,,1,,,878.7185355,,3514.874142,,,,,,
32,W1,W,/u/,vrc,hurt,uvrc,Wuvrc,bird,bird_W14SF.wav,bird_W14SF.TextGrid,0.216977756,9,508.0091533,864.9885584,2677.345538,3478.227893,3926.773455,1,1,1,2,1,508.0091533,864.9885584,2677.345538,,3926.773455,,,,3478.227893,
32,W1,W,/u/,vrc,hurt,uvrc,Wuvrc,bird,bird_W14SF.wav,bird_W14SF.TextGrid,0.216977756,10,508.0091533,864.9885584,2677.345538,3438.329326,3899.313501,1,1,2,2,2,508.0091533,864.9885584,,,,,,2677.345538,3438.329326,3899.313501
32,W1,W,/u/,vrc,hurt,uvrc,Wuvrc,bird,bird_W14SF.wav,bird_W14SF.TextGrid,0.216977756,11,508.0091533,864.9885584,2677.345538,3391.304348,3871.561641,1,1,2,1,1,508.0091533,864.9885584,,3391.304348,3871.561641,,,2677.345538,,
32,W1,W,/u/,vrc,hurt,uvrc,Wuvrc,bird,bird_W14SF.wav,bird_W14SF.TextGrid,0.216977756,12,494.2791762,878.7185355,2679.495509,3391.304348,3858.12357,1,1,2,2,2,494.2791762,878.7185355,,,,,,2679.495509,3391.304348,3858.12357
32,W1,W,/u/,vrc,hurt,uvrc,Wuvrc,bird,bird_W14SF.wav,bird_W14SF.TextGrid,0.216977756,13,480.5491991,878.7185355,2704.805492,3336.384439,3858.12357,1,2,2,2,2,480.5491991,,,,,,878.7185355,2704.805492,3336.384439,3858.12357
32,W1,W,/u/,vrc,hurt,uvrc,Wuvrc,bird,bird_W14SF.wav,bird_W14SF.TextGrid,0.216977756,14,439.3592677,878.7185355,2718.535469,3322.654462,3858.12357,1,2,2,2,2,439.3592677,,,,,,878.7185355,2718.535469,3322.654462,3858.12357
32,W1,W,/u/,vrc,hurt,uvrc,Wuvrc,bird,bird_W14SF.wav,bird_W14SF.TextGrid,0.216977756,15,425.6292906,906.1784897,2718.535469,3322.654462,3885.583524,2,2,2,2,2,,,,,,425.6292906,906.1784897,2718.535469,3322.654462,3885.583524
32,W1,W,/u/,vrc,hurt,uvrc,Wuvrc,bird,bird_W14SF.wav,bird_W14SF.TextGrid,0.216977756,16,425.6292906,947.3684211,2718.535469,3322.654462,3899.313501,2,2,2,2,2,,,,,,425.6292906,947.3684211,2718.535469,3322.654462,3899.313501
32,W1,W,/u/,vrc,hurt,uvrc,Wuvrc,bird,bird_W14SF.wav,bird_W14SF.TextGrid,0.216977756,17,425.6292906,947.3684211,2718.535469,3332.807614,3899.313501,2,2,2,2,2,,,,,,425.6292906,947.3684211,2718.535469,3332.807614,3899.313501
32,W1,W,/u/,vrc,hurt,uvrc,Wuvrc,bird,bird_W14SF.wav,bird_W14SF.TextGrid,0.216977756,18,439.3592677,947.3684211,2718.535469,3349.004406,3899.313501,2,2,2,2,2,,,,,,439.3592677,947.3684211,2718.535469,3349.004406,3899.313501
32,W1,W,/u/,vrc,hurt,uvrc,Wuvrc,bird,bird_W14SF.wav,bird_W14SF.TextGrid,0.216977756,19,432.3449198,961.0983982,2718.535469,3350.114416,3899.313501,2,2,2,2,2,,,,,,432.3449198,961.0983982,2718.535469,3350.114416,3899.313501
32,W1,W,/u/,vrc,hurt,uvrc,Wuvrc,bird,bird_W14SF.wav,bird_W14SF.TextGrid,0.216977756,20,398.1693364,961.0983982,2718.535469,3350.114416,3889.870221,2,2,2,2,2,,,,,,398.1693364,961.0983982,2718.535469,3350.114416,3889.870221
33,W1,W,/u/,vc,hut,uvc,Wuvc,bud,bud_W1.wav,bud_W1.TextGrid,0.264577855,0,540.1392374,892.4485126,2608.695652,3295.194508,4256.292906,,,,1,2,,,,3295.194508,,,,,,4256.292906
33,W1,W,/u/,vc,hut,uvc,Wuvc,bud,bud_W1.wav,bud_W1.TextGrid,0.264577855,1,521.7391304,919.9084668,2610.90497,3350.114416,4196.638316,,,,,1,,,,,4196.638316,,,,,
33,W1,W,/u/,vc,hut,uvc,Wuvc,bud,bud_W1.wav,bud_W1.TextGrid,0.264577855,2,521.7391304,974.8283753,2608.695652,3363.844394,4105.263158,,,,,1,,,,,4105.263158,,,,,
33,W1,W,/u/,vc,hut,uvc,Wuvc,bud,bud_W1.wav,bud_W1.TextGrid,0.264577855,3,563.5089972,1029.748284,2608.695652,3405.034325,4091.533181,,,,,1,,,,,4091.533181,,,,,
33,W1,W,/u/,vc,hut,uvc,Wuvc,bud,bud_W1.wav,bud_W1.TextGrid,0.264577855,4,569.9309538,1094.079718,2608.695652,3432.494279,4064.01364,,,,,1,,,,,4064.01364,,,,,
33,W1,W,/u/,vc,hut,uvc,Wuvc,bud,bud_W1.wav,bud_W1.TextGrid,0.264577855,5,579.1788275,1138.662638,2559.586353,3432.494279,3981.693364,,,,,1,,,,,3981.693364,,,,,
33,W1,W,/u/,vc,hut,uvc,Wuvc,bud,bud_W1.wav,bud_W1.TextGrid,0.264577855,6,554.4373752,1219.241855,2512.585812,3405.034325,3967.963387,,,,,1,,,,,3967.963387,,,,,
33,W1,W,/u/,vc,hut,uvc,Wuvc,bud,bud_W1.wav,bud_W1.TextGrid,0.264577855,7,545.32533,1263.157895,2512.585812,3366.375354,3954.23341,,1,,,1,,1263.157895,,,3954.23341,,,,,
33,W1,W,/u/,vc,hut,uvc,Wuvc,bud,bud_W1.wav,bud_W1.TextGrid,0.264577855,8,493.7740077,1359.267735,2540.045767,3405.034325,3954.23341,,1,,,1,,1359.267735,,,3954.23341,,,,,
33,W1,W,/u/,vc,hut,uvc,Wuvc,bud,bud_W1.wav,bud_W1.TextGrid,0.264577855,9,494.6482479,1487.733074,2540.045767,3460.929601,3940.503432,,1,,,1,,1487.733074,,,3940.503432,,,,,
33,W1,W,/u/,vc,hut,uvc,Wuvc,bud,bud_W1.wav,bud_W1.TextGrid,0.264577855,10,494.2791762,1510.297483,2554.463609,3542.334096,3940.503432,,1,1,1,1,,1510.297483,2554.463609,3542.334096,3940.503432,,,,,
33,W1,W,/u/,vc,hut,uvc,Wuvc,bud,bud_W1.wav,bud_W1.TextGrid,0.264577855,11,508.0091533,1551.487414,2594.965675,3597.254005,3940.503432,1,1,1,2,1,508.0091533,1551.487414,2594.965675,,3940.503432,,,,3597.254005,
33,W1,W,/u/,vc,hut,uvc,Wuvc,bud,bud_W1.wav,bud_W1.TextGrid,0.264577855,12,521.7391304,1592.677346,2567.505721,3624.713959,3940.503432,1,1,1,2,1,521.7391304,1592.677346,2567.505721,,3940.503432,,,,3624.713959,
33,W1,W,/u/,vc,hut,uvc,Wuvc,bud,bud_W1.wav,bud_W1.TextGrid,0.264577855,13,521.7391304,1620.1373,2567.505721,3679.633867,3944.354998,1,1,2,2,2,521.7391304,1620.1373,,,,,,2567.505721,3679.633867,3944.354998
33,W1,W,/u/,vc,hut,uvc,Wuvc,bud,bud_W1.wav,bud_W1.TextGrid,0.264577855,14,521.7391304,1633.867277,2677.345538,3707.093822,3954.23341,1,1,1,2,2,521.7391304,1633.867277,2677.345538,,,,,,3707.093822,3954.23341
33,W1,W,/u/,vc,hut,uvc,Wuvc,bud,bud_W1.wav,bud_W1.TextGrid,0.264577855,15,521.7391304,1636.018382,2759.7254,3707.093822,3982.984027,1,1,1,2,2,521.7391304,1636.018382,2759.7254,,,,,,3707.093822,3982.984027
33,W1,W,/u/,vc,hut,uvc,Wuvc,bud,bud_W1.wav,bud_W1.TextGrid,0.264577855,16,521.7391304,1661.327231,2768.553741,3707.093822,4004.056695,1,1,2,2,2,521.7391304,1661.327231,,,,,,2768.553741,3707.093822,4004.056695
33,W1,W,/u/,vc,hut,uvc,Wuvc,bud,bud_W1.wav,bud_W1.TextGrid,0.264577855,17,521.7391304,1721.862311,2773.455378,3707.093822,4022.883295,1,2,2,2,2,521.7391304,,,,,,1721.862311,2773.455378,3707.093822,4022.883295
33,W1,W,/u/,vc,hut,uvc,Wuvc,bud,bud_W1.wav,bud_W1.TextGrid,0.264577855,18,508.0091533,1784.897025,2773.455378,3720.823799,4026.980064,2,2,2,2,2,,,,,,508.0091533,1784.897025,2773.455378,3720.823799,4026.980064
33,W1,W,/u/,vc,hut,uvc,Wuvc,bud,bud_W1.wav,bud_W1.TextGrid,0.264577855,19,508.0091533,1853.546911,2773.455378,3720.823799,4050.343249,2,2,2,2,2,,,,,,508.0091533,1853.546911,2773.455378,3720.823799,4050.343249
33,W1,W,/u/,vc,hut,uvc,Wuvc,bud,bud_W1.wav,bud_W1.TextGrid,0.264577855,20,508.0091533,1867.276888,2773.455378,3738.983829,4064.073227,2,2,2,2,2,,,,,,508.0091533,1867.276888,2773.455378,3738.983829,4064.073227
34,W1,W,/u/,vc,hut,uvc,Wuvc,bud,bud_W11SF.wav,bud_W11SF.TextGrid,0.220592777,0,537.0433376,827.4314615,2594.965675,3501.144165,4366.132723,,,1,1,1,,,2594.965675,3501.144165,4366.132723,,,,,
